contract_id,churn_sn,duracao,ciclo,qtd_atendimentos,tme_recepcao_medio,tme_preconsulta_medio,tme_consulta_medio,tme_total_medio,tma_recepcao_medio,tma_preconsulta_medio,tma_consulta_medio,tma_posconsulta_medio,tm_total_medio,espera_senha_ate_consulta_medio,qtd_com_tme_rec,qtd_com_tme_pre,qtd_com_tme_con,qtd_com_stamps
821c0120-9aef-11f0-b496-f938d36f5b22-1,N,6,1o,4,614,117,600,1093,240,378,113,,1702,1455,4,1,3,4
821c7f10-1432-11ee-b5c4-455eb693b2f8-2,N,12,2o+,2,291,648,2260,3053,70,109,306,87,3503,3197,1,2,2,2
821c8c30-ce71-11ef-9f65-0d6c973df988-1,S,6,1o,2,,,8,4,,,335,,343,8,0,0,1,2
821cca90-d57c-11ee-a6c7-af02a93c3818-2,S,12,2o+,15,908,2088,25,277,128,658,272,3,778,506,2,1,10,15
821d1030-2b7a-11ec-9096-b78c308a16d0-4,S,12,2o+,1,582,646,244,1472,40,33,289,,1834,1545,1,1,1,1
821d83e0-0717-11f0-998e-13a645a1a11d-1,N,6,1o,10,684,316,1792,2465,169,78,629,159,3278,2649,8,4,10,10
821d8700-1414-11f0-ac00-97eb8a5d1e21-1,S,12,1o,10,141,388,2039,2219,76,303,309,409,2634,2325,10,1,10,10
821d9ff0-55b0-11f0-9609-0dde7bf2fecf-1,S,6,1o,1,681,,1205,1886,609,,2290,,4785,2495,1,0,1,1
821de000-2c82-11ed-a1be-dfff9cbc01b2-6,S,6,2o+,1,48,,830,878,92,,334,,1304,970,1,0,1,1
821e0dd0-a045-11ef-a284-b1e3c208ac83-2,S,6,2o+,3,226,,2138,2364,94,,654,449,3112,2458,3,0,3,3
821f40c0-d352-11ef-abc4-a1b57f0d690d-1,S,12,1o,6,267,364,1598,1570,308,64,661,576,2507,2227,4,1,5,6
821f5db0-67c4-11f0-8a81-e1198388bd00-1,N,6,1o,1,118,,360,478,58,,2315,207,2851,536,1,0,1,1
821f72b0-905e-11f0-8d01-2b5d8f93e09f-1,N,6,1o,4,318,,882,1120,302,,612,,1959,1347,3,0,4,4
821fb030-dcb9-11ef-b9a1-2fb5f4f5b322-1,S,12,1o,2,,,9,9,,,345,,354,9,0,0,2,2
82206550-ce88-11ef-8330-899b83c69987-1,S,12,1o,7,156,1176,2561,2862,174,642,316,87,3443,3128,6,1,7,7
822126c0-f697-11ef-9bc4-cfe3eb1353d0-1,N,12,1o,15,484,336,1605,2080,227,43,208,128,2502,2295,14,1,15,15
82213de0-cd02-11ef-aadd-a3a299c528b2-1,S,12,1o,3,67,344,846,1005,85,103,560,178,1655,1096,2,1,3,3
82215da0-3f00-11f0-b1f5-559075fc1772-1,N,6,1o,2,678,,1050,1727,103,,1104,94,2934,1830,2,0,2,2
82217d80-bb52-11ef-b29d-d76a3058ea16-1,N,6,1o,9,282,497,1249,1527,177,294,823,504,2828,1956,8,3,8,9
82217d80-bb52-11ef-b29d-d76a3058ea16-2,S,6,2o+,1,18,,128,146,85,,920,3,1151,231,1,0,1,1
822197b0-84a3-11ef-a04a-815c4a5b9d90-1,N,12,1o,2,296,257,2070,2494,117,438,86,,2916,2830,2,1,2,2
8221a540-7154-11f0-bfef-67cc77c7f084-1,S,6,1o,7,339,1702,1885,2053,298,898,590,168,3022,2793,4,1,6,7
82223600-1ce6-11ee-9b95-8797b3898112-2,N,12,2o+,1,433,126,2601,3160,26,22,310,,3518,3208,1,1,1,1
8222ae60-55c3-11f0-ad76-bd33d16d7bc2-1,N,6,1o,1,323,,1212,1535,292,,3047,,4874,1827,1,0,1,1
8222d770-7729-11ee-96ed-9d3624b034d1-2,S,12,2o+,13,555,463,1133,1823,241,143,341,77,2460,2119,12,5,13,13
822367b0-d73d-11ef-a9e5-0d968aa5431a-1,N,12,1o,15,243,661,1183,1356,149,16,918,76,2355,1437,8,1,15,15
8223a2f0-2183-11ee-bd76-f778c3c2f06f-4,N,6,2o+,3,229,,1278,1005,63,,269,,1839,1570,2,0,2,3
8224bd00-2b4c-11f0-be86-c78ae37a0f47-1,S,12,1o,8,120,291,2216,2051,90,103,942,353,3378,2436,5,1,7,8
82256c30-d5cc-11ef-9b09-c706a7d2a64a-1,S,12,1o,2,,,8,4,,,338,,346,8,0,0,1,2
8226b9f0-ec57-11ee-8e6a-1fcd395be968-2,N,12,2o+,9,276,965,1323,1936,214,231,867,26,3049,2181,6,4,9,9
822742b0-4380-11ee-8a59-135f8b059286-2,N,12,2o+,3,65,486,2537,2742,407,220,619,32,3706,3087,2,1,3,3
82277630-53f2-11ef-baf8-7b7eab258c4d-2,S,6,2o+,5,697,1104,1596,2276,98,79,443,15,3425,2982,4,2,4,5
8227ab00-2ce7-11ef-bbb4-0d6e59555dac-2,S,6,2o+,22,166,313,995,981,178,183,489,37,1991,1503,13,8,17,22
82295790-f43b-11ef-9818-6dac47807e8b-1,S,12,1o,1,,,6,6,,,183,,189,6,0,0,1,1
8229e240-bed1-11ef-86d0-81415ca1d7e5-1,S,6,1o,2,165,389,1851,2128,95,107,404,,2633,2229,1,1,2,2
822a5b80-a095-11ef-a903-057b7cfd37d1-1,S,12,1o,5,2409,,2332,3296,109,,484,293,3843,3359,2,0,5,5
822ab2a0-1080-11f0-8024-f90e1cd7db1d-1,N,6,1o,13,419,279,1642,2115,111,166,636,268,2905,2269,12,4,13,13
822ab2a0-1080-11f0-8024-f90e1cd7db1d-2,S,6,2o+,5,502,,1012,1413,304,,751,66,2107,1656,4,0,5,5
822ad170-74de-11ee-b8b8-153e98c7af64-2,S,12,2o+,1,86,,2101,2187,54,,404,105,2645,2241,1,0,1,1
822aff10-729a-11ee-a929-2f0e74dc54d0-4,S,6,2o+,4,661,210,1228,1777,55,86,509,27,2362,1853,3,1,4,4
822b4040-caa2-11ef-b3c6-b137f90a8ef8-1,N,6,1o,5,453,,622,1075,119,,337,107,1531,1194,5,0,5,5
822b4040-caa2-11ef-b3c6-b137f90a8ef8-2,N,6,2o+,5,451,352,1011,1352,75,25,259,156,1661,1402,3,1,5,5
822bd750-1a3a-11ed-8e8b-bd81db3df676-3,N,12,2o+,16,173,343,3263,3457,97,372,471,275,4070,3599,12,3,16,16
822c07c0-fff8-11ee-8071-4b39ac25bf7e-2,N,12,2o+,9,346,754,853,1328,146,13,421,429,1881,1460,8,2,9,9
822c72a0-bb55-11ef-9929-0dc6f992c0f7-1,N,6,1o,4,36,,2014,2032,134,,783,,2478,2099,2,0,4,4
822c72a0-bb55-11ef-9929-0dc6f992c0f7-2,N,6,2o+,3,83,,1799,1826,327,,1103,,3038,1935,1,0,3,3
822cb7d0-a2e3-11f0-bca8-914d0b6a9962-1,S,6,1o,10,1088,613,1598,2761,218,328,574,290,3630,3056,9,3,10,10
822cef00-7e7d-11f0-b16a-3dec3980e028-1,S,6,1o,4,127,,2399,2526,698,,785,,4008,3223,4,0,4,4
822cf950-d6a8-11ef-8a92-53b5bde14b99-1,N,12,1o,2,370,,322,691,171,,210,,1072,862,2,0,2,2
822d10b0-54e9-11f0-a460-452f2885626e-1,S,6,1o,1,34,,1510,1544,1746,,1221,,4511,3290,1,0,1,1
822d3ae0-003e-11f0-96ef-9d8eb57be82f-1,S,6,1o,4,157,250,2845,3150,450,90,1631,39,5186,3555,3,3,4,4
822e0a70-7fce-11ee-8124-ed824d461b8b-4,N,6,2o+,3,190,,859,986,124,,365,367,1434,1068,2,0,3,3
822e0a70-7fce-11ee-8124-ed824d461b8b-5,N,6,2o+,3,606,,1546,1950,94,,1061,295,3074,2013,2,0,3,3
82301ea0-738d-11f0-a04a-2d57172f9df8-1,N,6,1o,4,486,,1595,1959,124,,724,63,2807,2083,3,0,4,4
8231c780-929b-11ed-890d-cf6e6aaf15d0-3,N,12,2o+,3,52,,240,258,53,,991,275,1252,261,1,0,3,3
82326d30-6bb9-11f0-a7e1-7bd0f39c48e2-1,S,6,1o,6,300,2714,1175,1681,250,19,853,215,2913,2148,5,1,5,6
8232bb80-e0b5-11ef-8357-173f8f8c1d30-1,S,12,1o,13,89,,721,644,222,,942,,1804,862,5,0,11,13
82337fa0-e2f6-11ef-b357-792b5bfece04-1,N,6,1o,1,184,,342,526,61,,427,,1014,587,1,0,1,1
8233d140-58df-11ef-93cc-b5efe37e42d7-1,S,12,1o,11,266,1550,1031,1364,251,197,144,64,1910,1766,6,2,10,11
823417f0-3560-11f0-b48f-63ec20e439b6-1,S,6,1o,2,85,,1228,1271,57,,162,30,1461,1299,1,0,2,2
82343f10-5f83-11ed-8c78-1d89cf772cc2-3,S,12,2o+,13,215,,902,1001,99,,516,11,1562,1047,6,0,13,13
8234c330-08c9-11f0-ab11-fb7d61a1c11b-1,S,6,1o,2,,422,555,766,82,1179,747,,2131,1385,0,1,2,2
8234c7b0-6d37-11ee-8ed1-a74bec04f5a3-5,N,6,2o+,4,165,736,2242,2591,476,38,679,1407,3754,3076,4,1,4,4
82356540-b7d1-11ef-919b-47cede005239-1,N,12,1o,3,148,,1117,843,191,,469,24,1924,1456,2,0,2,3
8236c330-0651-11f0-8400-5b4c88f1153b-1,N,12,1o,2,352,,1948,1150,104,,111,344,3750,2404,1,0,1,2
82370460-f294-11ef-b4a6-b5d360a6a75c-1,S,6,1o,6,384,,2963,3219,83,,490,338,3764,3274,4,0,6,6
82375590-6bc1-11f0-a407-ad4406877115-1,N,6,1o,2,149,,1593,1742,210,,459,143,2410,1951,2,0,2,2
8237be40-26b6-11f0-ae00-ed7f52ccab8f-1,S,12,1o,3,213,,791,933,42,,118,371,1079,961,2,0,3,3
82385950-ff8c-11ef-bd55-1b193df5e32c-1,S,6,1o,1,,,6,6,,,293,,299,6,0,0,1,1
82390920-6343-11f0-99b4-4382cc1e0bd6-1,N,6,1o,3,250,,891,1057,149,,387,6,1543,1157,2,0,3,3
82392b00-b3e6-11f0-8e18-b74f5fea533e-1,N,6,1o,12,494,1319,1112,1510,188,302,428,200,2105,1677,7,1,12,12
82392d10-35d7-11ee-a04d-6b41e7ccb626-4,S,6,2o+,5,,22,1013,1018,151,262,839,,1968,1129,0,1,5,5
8239d400-2b3e-11f0-bde4-fd8c21534f7b-1,N,6,1o,5,200,,1733,1546,119,,1692,743,3306,1977,4,0,4,5
8239d890-3704-11ee-95fc-07f8d9fea399-2,S,12,2o+,8,267,143,1620,1894,51,232,757,99,2862,2106,5,6,8,8
8239dff0-c9d6-11ef-b631-175427822c99-1,S,12,1o,8,366,,323,460,126,,568,266,1075,507,3,0,8,8
8239ee70-46f2-11f0-a68e-a3dca62361a1-1,S,6,1o,3,37,,92,104,70,,1828,4,1956,128,1,0,3,3
823a9220-91da-11f0-8412-e796b47e035e-1,S,6,1o,6,242,695,45,201,160,127,666,2,915,249,1,1,6,6
823a9240-d18b-11ee-b6cc-a7e2713382bf-2,N,12,2o+,3,80,,1816,1842,164,,477,300,2428,1951,1,0,3,3
823ac250-d8d4-11ef-991d-fd90070f484e-1,N,6,1o,8,196,538,3296,3688,71,70,860,106,4627,3767,5,4,8,8
823ac250-d8d4-11ef-991d-fd90070f484e-2,N,6,2o+,3,1692,,1272,2964,146,,1112,6,4222,3110,3,0,3,3
823b3cc0-39a6-11f0-8083-7da407dc0799-1,N,6,1o,5,30,335,930,1155,45,194,758,50,2066,1308,4,3,5,5
823b97f0-a366-11ef-966b-c9ada3562eba-1,S,12,1o,16,360,423,1265,1580,80,107,465,93,2151,1676,14,3,15,16
823bdd80-37e3-11ef-80de-0ff24c747dc3-1,N,12,1o,19,215,468,1342,1599,115,94,573,300,2281,1707,14,4,19,19
823ccdb0-2342-11ed-a579-9555baf1a1a2-3,S,12,2o+,13,137,338,2110,2314,98,337,660,228,3148,2488,12,3,13,13
823e08c0-816c-11f0-a269-bfa0866d9dd5-1,N,6,1o,1,173,,1128,1301,50,,709,128,2060,1351,1,0,1,1
823eaf90-d416-11ef-946f-1f9921efdfd3-1,N,12,1o,9,835,,231,390,174,,537,,1020,483,2,0,8,9
823ed7b0-01aa-11f0-952a-df49621277e7-1,S,12,1o,5,,,8,8,,,1042,,1050,8,0,0,5,5
823f1f90-3095-11ef-8c98-cb898968552a-1,S,12,1o,3,,,7,7,,,678,383,685,7,0,0,3,3
824021f0-d802-11ef-8ffa-c1f22f69fdd1-1,N,12,1o,9,1206,1345,2252,3623,85,104,342,685,4063,3721,8,2,9,9
82404290-4b7d-11f0-abee-d57b2e97a9fb-1,S,6,1o,4,,,7,7,,,320,,326,7,0,0,4,4
82404330-45ed-11ef-8f91-13330452da6a-1,N,12,1o,3,110,319,355,641,85,189,771,141,1613,842,2,2,3,3
8240e300-f81b-11ee-978a-618ccad1a800-4,N,6,2o+,1,,,7,7,,,317,,324,7,0,0,1,1
8240f420-ddc7-11ef-becd-1b292a1868af-1,S,12,1o,10,124,71,1427,1553,197,9,374,97,2106,1732,9,2,10,10
824310e0-8806-11f0-9d87-d9bb7367c5f6-1,S,6,1o,3,528,259,792,1406,410,452,615,143,2582,1966,3,1,3,3
82433c80-0e37-11f0-9ab1-3bfb22a83cf2-1,S,12,1o,3,228,,2069,2297,171,,681,122,3148,2468,3,0,3,3
82436bf0-597f-11ef-a78f-6b206c0cc344-1,S,12,1o,13,158,306,1281,1389,54,39,1804,154,3223,1419,5,2,13,13
824390c0-e2ec-11ef-b865-fde1db44fb4e-1,N,12,1o,4,130,,1565,1695,412,,124,,2231,2108,4,0,4,4
82450860-ed55-11ef-87ac-9f237d1338cd-2,N,6,2o+,1,100,,1309,1409,110,,305,200,1824,1519,1,0,1,1
8245e090-791f-11f0-944a-272cc14ebec4-1,N,6,1o,4,27,,2153,2167,113,,409,78,2632,2223,2,0,4,4
82465030-82ab-11f0-8c76-23b9e527d787-1,S,6,1o,1,617,,520,1137,63,,666,42,1866,1200,1,0,1,1
8246e5b0-0c77-11ee-ac75-b72a0e36ed5c-2,N,12,2o+,1,,,,0,,,,,,,0,0,0,1
82475020-31a2-11f0-a172-294c0542e627-1,N,6,1o,7,,,7,7,,,221,,228,7,0,0,7,7
82477c90-00e1-11f0-a726-9ffb454582ea-1,N,12,1o,2,89,366,386,658,129,166,692,,1562,870,2,1,2,2
8247bb30-3fcd-11f0-8f8f-a9d40a602e48-1,S,6,1o,4,385,1310,1910,2622,174,217,674,48,3523,2850,4,1,4,4
82485000-d635-11eb-818d-29feab7b909d-4,N,12,2o+,2,448,,280,728,61,,457,49,1245,788,2,0,2,2
8248c010-55db-11f0-957c-f70c84124107-1,S,6,1o,4,572,152,2511,2978,130,193,730,284,3854,3124,3,1,4,4
82490480-4376-11ef-ad2a-ab0c896f8c74-1,N,12,1o,22,245,218,1469,1739,148,95,529,192,2421,1893,19,6,22,22
82490b50-a9e7-11f0-84a1-cf62a4bdbbb5-1,N,6,1o,7,185,,957,1063,80,,250,,1359,1109,4,0,7,7
824a3530-e2a4-11ef-8e5d-db3fa350b884-1,N,6,1o,2,,,381,381,153,,576,159,1109,534,0,0,2,2
824a3530-e2a4-11ef-8e5d-db3fa350b884-2,S,6,2o+,9,141,313,937,826,173,84,161,89,1383,1222,4,1,7,9
824a56f0-e38c-11ed-959b-a3cdb3a41d5b-5,S,6,2o+,1,,130,1040,1170,195,8,661,,2034,1373,0,1,1,1
824b0be0-2d73-11ef-b8a6-13b81b3cb4ec-1,N,12,1o,14,305,609,2704,3052,257,61,722,253,3971,3248,10,3,14,14
824b41c0-6c7c-11f0-a5c7-2bc3e9e718c6-1,S,6,1o,4,300,2554,1079,2017,99,739,450,752,2750,2300,4,1,4,4
824c70a0-f058-11ee-ba8f-2d07282c4429-3,S,6,2o+,4,706,70,1159,1882,88,156,339,169,2347,2008,4,1,4,4
824c7980-e9d1-11ed-b8b5-9b443cb314e7-3,N,12,2o+,19,268,1436,1912,2633,109,135,791,235,3576,2785,19,6,19,19
824dbf20-7d59-11f0-885d-b34ec581de12-1,S,6,1o,4,966,,3707,4432,169,,304,214,4863,4559,3,0,4,4
824ea4b0-5b2e-11ef-824b-9b7e7b221685-1,N,12,1o,2,39,209,2921,3169,65,247,755,,4236,3481,2,2,2,2
82517a30-448d-11ef-afeb-9d0aec86b92a-3,N,6,2o+,6,61,,504,566,195,,305,158,1066,761,6,0,6,6
82523250-9301-11ef-8629-65645c6b4046-1,N,12,1o,4,500,342,1770,2190,90,226,670,343,2920,2249,2,2,4,4
82532600-066b-11f0-8b1f-3134f4d8ca4b-1,N,12,1o,9,261,1489,1939,2531,86,14,444,320,3063,2620,9,2,9,9
82539fe0-4b41-11ee-b993-0355c93da1ef-2,N,12,2o+,1,767,80,4226,5073,163,27,678,636,5941,5263,1,1,1,1
82542470-aeff-11ee-8be9-b923d0dfe800-2,S,12,2o+,1,,,6,6,,,615,,621,6,0,0,1,1
8255fc10-cb9a-11ef-b504-93897c2f1548-1,S,6,1o,4,1031,308,1493,2497,105,140,326,175,3006,2680,3,3,4,4
82560870-b1eb-11ec-ab64-7d050c741296-4,N,12,2o+,1,334,328,104,766,47,109,397,,1319,922,1,1,1,1
825620c0-89d4-11f0-b94a-7bb0f647683c-1,N,6,1o,1,,,873,873,103,,621,,1597,976,0,0,1,1
8256dc20-d72f-11ef-aa84-1b6f15a9c717-1,N,12,1o,8,227,53,832,1073,77,63,533,310,1698,1165,8,2,8,8
82575ef0-3a64-11f0-8480-93f6ab7b1bb3-1,S,6,1o,4,1002,,1358,1859,67,,137,71,2046,1910,2,0,4,4
8257b9a0-dd89-11ef-9676-c309c3169540-1,S,12,1o,7,781,,1693,1786,70,,3715,21,5540,2130,3,0,6,7
8257dbe0-f3de-11ef-981c-9bb2d6e6af13-1,N,12,1o,3,137,749,1298,1410,264,128,726,218,3100,2375,1,2,2,3
82582430-860f-11ee-93d9-df4f579de4b2-2,N,12,2o+,2,722,271,697,1554,117,60,742,257,2443,1701,2,1,2,2
82593770-8d27-11ee-ac81-ad5fbf0f1a4e-4,N,6,2o+,16,516,,802,1074,416,,242,551,1649,1423,10,0,15,16
825941b0-8f3d-11f0-bf35-03b3a27a9683-1,S,6,1o,5,135,259,5293,5583,83,79,933,534,6647,5714,5,3,5,5
82599680-e2fc-11ef-98d7-6f3932ec4134-1,S,12,1o,1,43,170,1386,1599,56,92,542,91,2289,1747,1,1,1,1
8259a0d0-2cda-11f0-8ee8-ab9dee0b5e6b-1,N,12,1o,4,97,,1329,1426,186,,312,,1924,1612,4,0,4,4
825aa580-be94-11ee-a361-4fc999ae2932-2,N,12,2o+,1,,,6,6,,,893,,899,6,0,0,1,1
825cedc0-1313-11f0-90a2-35cbeace9980-1,S,12,1o,19,483,345,3438,3943,154,392,940,361,4032,4180,17,4,19,19
825d01f0-f781-11ef-bf9d-5beaebd68d94-1,S,12,1o,4,985,746,1403,2574,364,48,389,91,3339,2950,4,1,4,4
825d5b60-71cf-11ef-8980-0f3f59ec37a4-1,N,12,1o,10,438,206,1532,1944,102,334,426,287,2562,2136,8,3,10,10
825d9fc0-bf65-11ee-bace-23695efe03bf-2,S,12,2o+,21,407,222,1347,1719,145,288,579,243,2477,1898,17,4,21,21
825dcf00-1c51-11f0-8ae0-67afa4f886ac-1,S,6,1o,4,592,707,1446,2067,77,102,215,,2365,2150,3,1,4,4
825de390-5571-11ed-9789-4f19a3a99568-3,N,12,2o+,12,115,190,1013,1178,123,170,348,143,1690,1341,9,5,12,12
825e6830-523a-11ee-a04d-a17b3a0aacc5-2,N,12,2o+,7,75,116,272,210,60,120,658,17,1115,457,2,2,4,7
825f2eb0-d8de-11ef-9f60-5d8c816ad3b7-1,S,12,1o,4,397,,51,150,96,,314,,488,174,1,0,4,4
825f43f0-33c5-11ef-b0f5-29a3e9a469a0-1,N,12,1o,7,330,,1141,793,147,,824,128,2323,1499,3,0,4,7
826024a0-9260-11f0-bf2a-7f9e4c25f56a-1,S,6,1o,3,264,526,457,1071,180,50,954,357,2238,1284,3,2,3,3
82607740-00eb-11f0-a726-9ffb454582ea-1,S,12,1o,8,208,162,1258,1434,111,111,400,132,1944,1544,6,1,8,8
82609250-d25a-11ed-a446-e51ad2470932-3,S,12,2o+,3,254,,2532,2701,56,,236,98,2974,2738,2,0,3,3
8260ffe0-0964-11f0-b3a5-a54e13b9bb6a-1,S,12,1o,14,339,169,1302,1616,323,182,321,95,2263,1942,12,2,14,14
82613470-fdd3-11ef-bfc6-fb565661f3f8-1,S,6,1o,7,546,343,2154,2750,257,211,430,70,3367,3036,7,1,7,7
8262de40-370f-11f0-aac5-593063fb8c6a-1,S,6,1o,1,194,,2638,2832,599,,553,124,3984,3431,1,0,1,1
82631240-08e1-11f0-bd07-a3a4de422719-1,N,12,1o,6,113,,2487,2600,121,,527,222,3249,2721,6,0,6,6
82631f30-e959-11ef-b8c4-95edf31d99da-1,N,6,1o,4,89,875,1094,1599,67,292,901,92,2712,1811,3,2,4,4
82631f30-e959-11ef-b8c4-95edf31d99da-2,N,6,2o+,7,542,1515,2354,3545,116,46,473,162,4154,3681,7,3,7,7
82638090-1f05-11ed-ad6b-af1c0698f536-3,S,12,2o+,1,179,683,2566,3428,138,187,325,,4078,3753,1,1,1,1
8264ec70-9f8e-11f0-80ef-e7a5c32302ad-1,N,6,1o,1,308,2984,718,4010,132,54,14,,4210,4196,1,1,1,1
82658b80-0ee4-11ef-8bdc-cd923e73c7df-3,N,6,2o+,6,,,7,5,,,742,,749,7,0,0,4,6
82658b80-0ee4-11ef-8bdc-cd923e73c7df-4,S,6,2o+,9,,,10,2,,,782,,792,10,0,0,2,9
82671d30-1553-11f0-a4e3-77ab5b734331-1,N,6,1o,3,,,8,8,,,477,,484,8,0,0,3,3
82671d30-1553-11f0-a4e3-77ab5b734331-2,N,6,2o+,2,,,10,10,,,358,,368,10,0,0,2,2
8267a910-9ba7-11ef-8b07-3bccdfd5f504-1,S,12,1o,4,210,357,1681,2247,100,174,362,93,2884,2522,4,4,4,4
8267e9a0-6af3-11ef-937b-3d6b3d5ee29e-1,S,12,1o,6,477,184,1309,1816,120,164,374,40,2338,1964,6,1,6,6
8268ace0-d723-11ef-a896-9f5965af1b23-1,N,6,1o,4,203,66,2500,2668,270,204,454,360,3375,2921,3,1,4,4
8268d8b0-8430-11ee-94a2-9b2f38c9223a-2,S,12,2o+,9,309,151,1304,1415,55,175,2142,233,3685,1735,5,5,8,9
82694a70-60de-11f0-975d-e35156336869-1,N,6,1o,11,747,531,1702,2341,186,549,590,156,3200,2610,8,2,11,11
826b0b50-e3af-11ef-a56b-c94c3cc5c273-1,N,12,1o,2,24,,1274,1286,52,,460,,1771,1312,1,0,2,2
826b7430-e325-11ef-921f-e5ad89c117ac-1,S,6,1o,3,1269,192,558,1954,235,265,2090,,4456,2366,3,2,3,3
826c19e0-990a-11ef-b02d-7f6651fe4f09-1,N,12,1o,5,830,3070,1097,2209,206,298,547,115,2952,2405,3,1,5,5
826cc670-c2e9-11ef-a9db-c71e2da151e0-1,S,6,1o,2,27,678,4946,5311,171,694,573,666,6402,5829,2,1,2,2
826d1ca0-2a6f-11ef-bcc9-011bf385e662-1,N,12,1o,5,13887,,787,3565,78,,1163,44,4743,3580,1,0,5,5
826df610-405f-11ef-a792-3787919f59f5-1,S,12,1o,8,813,126,35,152,108,186,464,,653,189,1,1,8,8
826e0200-ae23-11ee-86bd-89bb5be8407b-2,S,12,2o+,1,86,322,511,919,41,11,338,2,1309,971,1,1,1,1
826e2e10-6ecb-11ef-a04d-6320ad4e91cc-1,S,12,1o,5,409,505,853,1301,141,27,804,456,2255,1451,3,2,5,5
826e5b70-d357-11ee-8a55-2b8724fbd1d4-2,S,12,2o+,10,290,4690,1409,2636,177,964,277,356,3282,3006,10,2,10,10
826e6140-ebb3-11ef-9a2b-67b839f0dbe9-1,S,12,1o,7,794,730,1390,1948,149,636,520,146,2686,2166,4,1,7,7
826ec7b0-439d-11f0-a400-6beb611ac81c-1,S,6,1o,4,78,548,3316,3531,62,76,657,5,4269,3612,4,1,4,4
826ed710-4290-11ee-acd1-4fdfaf9768c7-2,S,12,2o+,1,281,,1040,1321,80,,546,,1947,1401,1,0,1,1
826ee270-590c-11f0-aa6e-f76f8230121f-1,N,6,1o,5,192,122,2105,2283,64,142,1121,134,3484,2363,4,1,5,5
826f30a0-de36-11ef-ae38-e9c1c8f1235e-1,N,12,1o,4,502,286,1416,1527,110,107,1164,76,2826,2217,2,3,3,4
826fc5e0-f423-11ee-ac44-8f5806a6250b-2,S,12,2o+,16,241,1726,2705,3440,153,98,697,429,4292,3595,13,5,16,16
826ff920-a5a4-11ee-bee1-a15122a2b235-2,N,12,2o+,11,601,2851,1536,2396,85,2774,661,201,3394,2733,11,1,11,11
8272e3b0-8d58-11ee-9f6a-499ca79c2192-4,N,6,2o+,3,114,,740,778,137,,781,485,1605,824,1,0,3,3
82749ec0-09ef-11f0-ae43-c35bdd4cc3e9-1,N,6,1o,4,14,,2021,2035,253,,13,,2301,2288,4,0,4,4
82751740-7a78-11ee-b7f7-5162a8fde6f0-4,S,6,2o+,5,831,792,1194,2183,200,98,462,234,2864,2403,5,1,5,5
8275aa90-7ce1-11ef-a0f6-9d6ee95e19c8-2,N,6,2o+,1,192,45,959,1196,58,116,989,4,2359,1370,1,1,1,1
8275aa90-7ce1-11ef-a0f6-9d6ee95e19c8-3,S,6,2o+,6,682,,617,844,110,,332,94,1213,881,2,0,6,6
82765b20-1e35-11f0-afaa-55bac7790202-1,S,12,1o,4,203,,1646,1799,86,,566,,2430,1864,3,0,4,4
8276a5e0-5369-11ef-98eb-31ff7ec4a027-1,N,12,1o,3,,,6,6,,,939,,945,6,0,0,3,3
82771890-b665-11ef-9dd1-07f4bcdbb073-1,S,12,1o,1,,,746,746,194,,28,,968,940,0,0,1,1
82778800-d7dd-11ee-a673-fd43e900a30b-2,S,12,2o+,7,1689,,1589,3037,335,,909,254,4233,3324,6,0,7,7
8277bee0-ad87-11ee-a0f6-e9fb439d8c4f-2,N,12,2o+,12,437,127,949,1371,74,95,733,133,2187,1454,11,2,12,12
82782930-82f7-11ee-bbfa-d50a54ba6537-2,S,12,2o+,10,421,349,1372,1968,153,95,776,420,2944,2168,10,5,10,10
82788c40-2b49-11ef-a5d5-ef0d315438f1-2,N,6,2o+,9,250,339,474,568,113,123,362,,1369,1007,5,3,6,9
82788c40-2b49-11ef-a5d5-ef0d315438f1-3,N,6,2o+,4,1176,126,234,501,80,147,774,,1518,744,1,1,3,4
8278ad20-d8bd-11ef-82a5-0bb05e84ec22-1,N,12,1o,19,299,138,1886,2176,235,496,693,264,3176,2484,17,3,19,19
82796df0-def3-11ef-b225-131bece3c1c5-1,S,12,1o,13,1057,,2720,3696,153,,442,121,4245,3837,12,0,13,13
8279af80-f9e3-11ef-8314-8965993583ae-1,N,6,1o,3,145,2332,715,1589,296,285,1191,253,3071,1881,2,1,3,3
8279af80-f9e3-11ef-8314-8965993583ae-2,N,6,2o+,6,102,,1374,1476,131,,371,18,1978,1607,6,0,6,6
827a04c0-d587-11ee-9964-21ab0a996af2-2,S,12,2o+,2,52,,1971,2023,52,,457,3,2531,2074,2,0,2,2
827a0610-d201-11ef-bf77-6b73fba2b2f5-1,N,6,1o,12,330,572,2027,2128,91,257,676,411,3423,2747,9,4,10,12
827a0610-d201-11ef-bf77-6b73fba2b2f5-2,N,6,2o+,4,321,,1323,1152,179,,213,12,1928,1716,2,0,3,4
827a31f0-b93b-11ef-abc7-c3f8290dedd3-1,N,12,1o,7,344,90,1112,1371,93,117,710,,2164,1454,5,1,7,7
827aae50-e453-11ed-b0fd-b73003f544e3-3,S,12,2o+,1,379,410,2168,2957,61,45,466,,3529,3063,1,1,1,1
827b2740-0c88-11f0-b998-ef5ee36993d4-1,S,12,1o,8,761,194,2679,3369,211,152,578,141,4150,3572,7,1,8,8
